sotmcID,ComplexID,MimotopeSetID,sotmcComments
1,27,737,NULL
2,28,890,NULL
3,35,984,NULL
4,36,984,NULL
5,43,1213,NULL
6,62,1443,NULL
7,62,1444,NULL
8,100,1817,NULL
9,101,1817,NULL
10,102,1817,NULL
11,103,1817,NULL
12,104,1817,NULL
13,106,1818,NULL
14,107,1818,NULL
15,108,1818,NULL
16,109,1818,NULL
17,110,1818,NULL
18,159,888,NULL
19,160,888,NULL
20,161,888,NULL
21,162,888,NULL
22,163,888,NULL
23,164,888,NULL
24,165,888,NULL
25,166,888,NULL
26,167,888,NULL
27,168,888,NULL
28,169,888,NULL
29,170,888,NULL
30,171,890,NULL
31,172,890,NULL
32,173,890,NULL
33,174,890,NULL
34,175,890,NULL
35,176,890,NULL
36,238,1211,NULL
37,250,1211,NULL
38,311,3081,NULL
39,312,3082,NULL
40,316,449,NULL
41,317,449,NULL
