sottcID,ComplexID,MimotopeSetID,sottcComments
1,2,12,NULL
2,3,13,NULL
3,4,29,NULL
4,4,30,NULL
5,5,41,NULL
6,6,47,NULL
7,7,48,NULL
8,8,49,NULL
9,9,52,NULL
10,9,53,NULL
11,10,54,NULL
12,11,55,NULL
13,11,56,NULL
14,12,57,NULL
15,12,58,NULL
16,12,59,NULL
17,13,60,NULL
18,59,62,NULL
19,8,99,NULL
20,14,139,NULL
21,44,185,NULL
22,16,186,NULL
23,2,242,NULL
24,17,276,NULL
25,17,277,NULL
26,18,278,NULL
27,18,279,NULL
28,19,357,NULL
29,20,405,NULL
30,21,464,NULL
31,22,464,NULL
32,23,464,NULL
33,21,465,NULL
34,22,465,NULL
35,23,465,NULL
36,24,671,NULL
37,25,671,NULL
38,26,671,NULL
39,29,976,NULL
40,30,976,NULL
41,31,976,NULL
42,32,976,NULL
43,33,984,NULL
44,34,984,NULL
45,37,1036,NULL
46,38,1036,NULL
47,39,1036,NULL
48,37,1037,NULL
49,38,1037,NULL
50,39,1037,NULL
51,37,1038,NULL
52,38,1038,NULL
53,39,1038,NULL
54,40,1101,NULL
55,41,1101,NULL
56,42,1101,NULL
57,40,1102,NULL
58,41,1102,NULL
59,42,1102,NULL
60,40,1103,NULL
61,41,1103,NULL
62,42,1103,NULL
63,40,1104,NULL
64,41,1104,NULL
65,42,1104,NULL
66,40,1105,NULL
67,41,1105,NULL
68,42,1105,NULL
69,40,1106,NULL
70,41,1106,NULL
71,42,1106,NULL
72,40,1107,NULL
73,41,1107,NULL
74,42,1107,NULL
75,40,1108,NULL
76,41,1108,NULL
77,42,1108,NULL
78,40,1109,NULL
79,41,1109,NULL
80,42,1109,NULL
81,40,1110,NULL
82,41,1110,NULL
83,42,1110,NULL
84,40,1111,NULL
85,41,1111,NULL
86,42,1111,NULL
87,40,1112,NULL
88,41,1112,NULL
89,42,1112,NULL
90,40,1113,NULL
91,41,1113,NULL
92,42,1113,NULL
93,40,1114,NULL
94,41,1114,NULL
95,42,1114,NULL
96,40,1115,NULL
97,41,1115,NULL
98,42,1115,NULL
99,60,1153,NULL
100,60,1154,NULL
101,1,1190,NULL
102,1,1191,NULL
103,1,1192,NULL
104,45,185,NULL
105,15,185,NULL
106,46,185,NULL
107,47,185,NULL
108,48,185,NULL
109,49,185,NULL
110,50,185,NULL
111,51,185,NULL
112,52,185,NULL
113,53,185,NULL
114,54,185,NULL
