MimotopeSetID,FileName
1,20071116-1010001OOaaaaAAAA-AAAA
2,20071116-1010001OOaaaaAAAB-AAAA
3,20071116-1010002OOaaaaAAAA-AAAA
4,20071116-1010002OOaaaaAAAC-AAAA
5,20040401-1010003OOaaabAAAD-AAAB
6,20040200-1010004OOaaacAAAE-AAAC
7,20040200-1010004OOaaacAAAE-AAAC
8,20040200-1010004OOaaacAAAE-AAAC
9,20090000-1010001OOaaadAAAF-AAAD
10,20050601-1010005OOaaaeAAAG-AAAE
11,20060900-1010001OOaaafAAAH-AAAF
12,20060915-1010006OOaaagAAAI-AAAG
13,20070415-1010006OOaaahAAAJ-AAAH
14,20030418-1010007OOaaaiAAAK-AAAI
15,20060000-1010001OOaaajAAAL-AAAJ
16,20060000-1010001OOaaakAAAL-AAAJ
17,20060000-1010001OOaaakAAAL-AAAJ
18,20060630-1010001OOaaalAAAL-AAAK
19,20060630-1010001OOaaamAAAL-AAAK
20,20090500-1010005OOaaanAAAL-AAAL
21,20090500-1010005OOaaaoAAAL-AAAL
22,19971124-1010002OOaaapAAAL-AAAM
23,20020500-1010002OOaaaqAAAL-AAAN
24,20060800-1010001OOaaarAAAL-AAAO
25,20060700-1010001OOaaasAAAL-AAAP
26,20101004-1010002OOaaatAAAL-AAAQ
27,20070500-1010001OOaaauAAAL-AAAR
28,20060600-1010008OOaaavAAAL-AAAS
29,20060300-1010009OOaaawAAAL-AAAT
30,20060300-1010010OOaaawAAAL-AAAT
31,20160500-1010011OOaaaxAAAL-AAAU
32,20010100-1010001OOaaayAAAM-AAAV
33,20030221-1010001OOaaazAAAL-AAAW
34,20030200-1010001OOaabaAAAL-AAAX
35,20030200-1010001OOaabaAAAL-AAAX
36,20030200-1010001OOaabbAAAL-AAAX
37,20030200-1010001OOaabbAAAL-AAAX
38,20060300-1010010OOaabcAAAL-AAAY
39,20061100-1010002OOaaalAAAL-AAAZ
40,20061100-1010002OOaaalAAAL-AAAZ
41,20061101-1010012OOaabdAAAN-AABA
42,20060505-1010013OOaabeAAAL-AABB
43,20060505-1010014OOaabeAAAL-AABB
44,20060300-1010001OOaabfAAAO-AABC
45,20060300-1010001OOaabgAAAL-AABD
46,20060505-1010013OOaabhAAAL-AABE
47,19950825-1010015OOaabiAAAL-AABF
48,20051116-1010016OOaabjAAAL-AABG
49,20040701-1010016OOaabkAAAL-AABH
50,20040500-1010001OOaablAAAL-AABI
51,20040500-1010002OOaablAAAL-AABI
52,20031205-1010017OOaabmAAAL-AABJ
53,20031205-1010018OOaabmAAAL-AABJ
54,20030801-1010019OOaabnAAAL-AABK
55,20060526-1010020OOaaboAAAL-AABL
56,20060526-1010021OOaaboAAAL-AABL
57,20090000-1010022OOaabpAAAL-AABM
58,20090000-1010023OOaabpAAAL-AABM
59,20090000-1010024OOaabpAAAL-AABM
60,19951103-1010025OOaabqAAAL-AABN
61,19950718-1010026OOaabrAAAL-AABO
62,19950718-1010026OOaabrAAAL-AABO
63,19970500-1010005OOaabsAAAP-AABP
64,19970500-1010002OOaabsAAAP-AABP
65,19971212-1010027OOaabtAAAL-AABQ
66,19971212-1010027OOaabtAAAL-AABQ
67,20001001-1010028OOaabuAAAL-AABR
68,20001001-1010028OOaabuAAAL-AABR
69,19971114-1010029OOaabvAAAQ-AABS
70,19970815-1010030OOaabwAAAL-AABT
71,19970304-1010031OOaabxAAAL-AABU
72,20060317-1010032OOaabyAAAL-AABV
73,20060317-1010033OOaabyAAAL-AABV
74,20060317-1010033OOaabyAAAL-AABV
75,20061117-1010005OOaabzAAAL-AABW
76,20061117-1010001OOaabzAAAL-AABW
77,20061117-1010005OOaacaAAAL-AABW
78,20061117-1010001OOaacaAAAL-AABW
79,20050101-1010034OOaacbAAAL-AABX
80,20050101-1010035OOaacbAAAL-AABX
81,20050101-1010001OOaaccAAAL-AABY
82,20050101-1010001OOaacdAAAL-AABY
83,20050101-1010001OOaaceAAAL-AABY
84,20110802-1010036OOaacfAAAL-AABZ
85,20050722-1010001OOaacgAAAL-AACA
86,20050101-1010005OOaachAAAL-AACB
87,20050400-1010010OOaaciAAAR-AACC
88,20050624-1010009OOaacjAAAL-AACD
89,19940930-1010002OOaackAAAL-AACE
90,19940930-1010002OOaaclAAAL-AACE
91,19940930-1010002OOaacmAAAL-AACE
92,20040501-1010001OOaacnAAAL-AACF
93,19970500-1010009OOaacoAAAL-AACG
94,19970500-1010010OOaacoAAAL-AACG
95,20051200-1010001OOaacpAAAL-AACH
96,20050601-1010037OOaacqAAAL-AACI
97,20050601-1010037OOaacrAAAL-AACI
98,20050601-1010038OOaacrAAAL-AACI
99,20050211-1010001OOaabkAAAS-AACJ
100,20050400-1010002OOaacsAAAL-AACK
101,19940930-1010001OOaactAAAT-AACL
102,20040601-1010002OOaacuAAAL-AACM
103,20040601-1010002OOaacvAAAL-AACM
104,20030307-1010001OOaacwAAAL-AACN
105,20030307-1010001OOaacxAAAL-AACN
106,20060301-1010005OOaacyAAAL-AACO
107,20090000-1010005OOaaczAAAL-AACP
108,20150000-1010002OOaadaAAAU-AACQ
109,20050700-1010001OOaadbAAAL-AACR
110,19971000-1010005OOaadcAAAL-AACS
111,20050900-1010001OOaaddAAAV-AACT
112,20040215-1010039OOaadeAAAL-AACU
113,20040215-1010016OOaadeAAAL-AACU
114,20110800-1010040OOaadfAAAW-AACV
115,19941201-1010041OOaadfAAAL-AACW
116,19941201-1010042OOaadfAAAL-AACW
117,19941201-1010042OOaadgAAAL-AACW
