DateID,Date
2007Nov16,2007 Nov 16
2004Apr01,2004 Apr 01
2004FebXX,2004 Feb
2006SepXX,2006 Sep
2005Jun01,2005 Jun 01
2006Jun01,2006 Jun 01
2006Sep15,2006 Sep 15
2007Apr15,2007 Apr 15
2003Apr18,2003 Apr 18
2006MarXX,2006 Mar
2006Jun30,2006 Jun 30
2006OctXX,2006 Oct
2005JulXX,2005 Jul
2003AugXX,2003 Aug
2006FebXX,2006 Feb
2006JulXX,2006 Jul
2007JanXX,2007 Jan
2006AprXX,2006 Apr
2006JunXX,2006 Jun
2006JanXX,2006 Jan
2003SepXX,2003 Sep
2003JanXX,2003 Jan
2003Feb21,2003 Feb 21
2003NovXX,2003 Nov
2006JanXX,2006 Jan
2006NovXX,2006 Nov
2006Nov01,2006 Nov 01
2006May05,2006 May 05
2006JanXX,2006 Jan
2006JanXX,2006 Jan
2006May05,2006 May 05
1995Aug25,1995 Aug 25
2005Nov16,2005 Nov 16
2004Jul01,2004 Jul 01
2004DecXX,2004 Dec
2003Sep26,2003 Sep 26
2003Aug01,2003 Aug 01
2006May26,2006 May 26
2006SepXX,2006 Sep
1995Nov03,1995 Nov 03
1995Jul18,1995 Jul 18
2003MarXX,2003 Mar
1997Dec12,1997 Dec 12
1999JanXX,1999 Jan
1997Nov14,1997 Nov 14
1997Aug15,1997 Aug 15
1997Oct31,1997 Oct 31
2006Mar17,2006 Mar 17
2006Nov17,2006 Nov 17
2005FebXX,2005 Feb
2005FebXX,2005 Feb
2005Jan15,2005 Jan 15
2005Jul22,2005 Jul 22
2005FebXX,2005 Feb
2005MarXX,2005 Mar
2005Jun24,2005 Jun 24
2005JanXX,2005 Jan
2004May01,2004 May 01
2003MarXX,2003 Mar
2005DecXX,2005 Dec
2005Jun01,2005 Jun 01
2005Feb11,2005 Feb 11
2005MarXX,2005 Mar
2005JanXX,2005 Jan
2004Jun01,2004 Jun 01
2004JulXX,2004 Jul
2004NovXX,2004 Nov
2006SepXX,2006 Sep
2006AugXX,2006 Aug
2005OctXX,2005 Oct
2004MayXX,2004 May
2004MarXX,2004 Mar
2004Feb15,2004 Feb 15
1994Sep30,1994 Sep 30
1994Dec01,1994 Dec 01
2005Sep30,2005 Sep 30
2005NovXX,2005 Nov
2003DecXX,2003 Dec
1996Jul19,1996 Jul 19
1999Feb15,1999 Feb 15
2005JulXX,2005 Jul
2006MarXX,2006 Mar
2005JanXX,2005 Jan
2005JulXX,2005 Jul
2005JunXX,2005 Jun
2005Apr15,2005 Apr 15
2004NovXX,2004 Nov
2004NovXX,2004 Nov
2005NovXX,2005 Nov
2004Apr23,2004 Apr 23
2005Jul15,2005 Jul 15
2004Aug20,2004 Aug 20
2003OctXX,2003 Oct
2006MarXX,2006 Mar
1995Dec01,1995 Dec 01
1995Dec01,1995 Dec 01
1994AugXX,1994 Aug
2003Apr04,2003 Apr 04
2004NovXX,2004 Nov
2003Sep05,2003 Sep 05
2003Nov14,2003 Nov 14
2004MarXX,2004 Mar
2004AprXX,2004 Apr
2004Jul09,2004 Jul 09
2004MarXX,2004 Mar
2007OctXX,2007 Oct
2004Oct15,2004 Oct 15
2005Apr15,2005 Apr 15
2006JulXX,2006 Jul
2005SepXX,2005 Sep
2005Jan17,2005 Jan 17
2005Aug12,2005 Aug 12
2005Aug31,2005 Aug 31
2006JulXX,2006 Jul
2006Jun15,2006 Jun 15
2007MayXX,2007 May
2006Feb20,2006 Feb 20
2006FebXX,2006 Feb
2006FebXX,2006 Feb
2006JunXX,2006 Jun
2006Sep04,2006 Sep 04
2006XXXX,2006
2006JulXX,2006 Jul
2006JunXX,2006 Jun
2006Mar24,2006 Mar 24
2005DecXX,2005 Dec
2006MarXX,2006 Mar
2006Sep05,2006 Sep 05
2006AprXX,2006 Apr
2004AugXX,2004 Aug
2005JulXX,2005 Jul
2005SepXX,2005 Sep
2005DecXX,2005 Dec
2006FebXX,2006 Feb
2006Apr14,2006 Apr 14
2006FebXX,2006 Feb
2006Oct15,2006 Oct 15
2006Mar17,2006 Mar 17
2006Feb24,2006 Feb 24
2005MayXX,2005 May
2005DecXX,2005 Dec
2005JulXX,2005 Jul
2005Jul04,2005 Jul 04
2005FebXX,2005 Feb
2005Jul29,2005 Jul 29
2005Aug01,2005 Aug 01
2005Mar14,2005 Mar 14
2005Apr01,2005 Apr 01
2005AugXX,2005 Aug
2005Mar30,2005 Mar 30
2004Feb01,2004 Feb 01
2004Nov30,2004 Nov 30
2004Apr09,2004 Apr 09
2004DecXX,2004 Dec
2004Jun15,2004 Jun 15
2004JanXX,2004 Jan
2004Sep30,2004 Sep 30
2004Aug04,2004 Aug 04
2004JunXX,2004 Jun
2005JanXX,2005 Jan
2005XXXX,2005
2004Feb01,2004 Feb 01
2004NovXX,2004 Nov
2005DecXX,2005 Dec
2000May05,2000 May 05
2004Mar12,2004 Mar 12
2004Mar12,2004 Mar 12
2005AprXX,2005 Apr
2007AprXX,2007 Apr
2006OctXX,2006 Oct
2004Dec15,2004 Dec 15
2006AprXX,2006 Apr
2005FebXX,2005 Feb
2006OctXX,2006 Oct
2006MayXX,2006 May
2006Oct03,2006 Oct 03
2005Feb18,2005 Feb 18
2006AprXX,2006 Apr
2003May30,2003 May 30
2007JanXX,2007 Jan
2007MayXX,2007 May
2007Dec01,2007 Dec 01
2007MarXX,2007 Mar
2007Dec21,2007 Dec 21
2007DecXX,2007 Dec
2007Apr13,2007 Apr 13
2008OctXX,2008 Oct
2007NovXX,2007 Nov
2007NovXX,2007 Nov
2007MarXX,2007 Mar
2007Mar18,2007 Mar 18
2007FebXX,2007 Feb
2007Jul25,2007 Jul 25
2007JanXX,2007 Jan
2007MarXX,2007 Mar
2007Nov15,2007 Nov 15
2007Apr01,2007 Apr 01
2007OctXX,2007 Oct
2007AugXX,2007 Aug
2007NovXX,2007 Nov
2007Mar02,2007 Mar 02
2007Apr12,2007 Apr 12
2007Oct26,2007 Oct 26
2007Dec01,2007 Dec 01
