MimotopeSetID,FileName
1,2007Nov16-1010001OOaaaaAAAA-AAAA
2,2007Nov16-1010001OOaaaaAAAB-AAAA
3,2007Nov16-1010002OOaaaaAAAA-AAAA
4,2007Nov16-1010002OOaaaaAAAC-AAAA
5,2004Apr01-1010003OOaaabAAAD-AAAB
6,2004FebXX-1010004OOaaacAAAE-AAAC
7,2004FebXX-1010004OOaaacAAAE-AAAC
8,2004FebXX-1010004OOaaacAAAE-AAAC
9,2009XXXX-1010001OOaaadAAAF-AAAD
10,2005Jun01-1010005OOaaaeAAAG-AAAE
11,2006SepXX-1010001OOaaafAAAH-AAAF
12,2006Sep15-1010006OOaaagAAAI-AAAG
13,2007Apr15-1010006OOaaahAAAJ-AAAH
14,2003Apr18-1010007OOaaaiAAAK-AAAI
15,2006XXXX-1010001OOaaajAAAL-AAAJ
16,2006XXXX-1010001OOaaakAAAL-AAAJ
17,2006XXXX-1010001OOaaakAAAL-AAAJ
18,2006Jun30-1010001OOaaalAAAL-AAAK
19,2006Jun30-1010001OOaaamAAAL-AAAK
20,2009MayXX-1010005OOaaanAAAL-AAAL
21,2009MayXX-1010005OOaaaoAAAL-AAAL
22,1997Nov24-1010002OOaaapAAAL-AAAM
23,2002MayXX-1010002OOaaaqAAAL-AAAN
24,2006AugXX-1010001OOaaarAAAL-AAAO
25,2006JulXX-1010001OOaaasAAAL-AAAP
26,2010Oct04-1010002OOaaatAAAL-AAAQ
27,2007MayXX-1010001OOaaauAAAL-AAAR
28,2006JunXX-1010008OOaaavAAAL-AAAS
29,2006MarXX-1010009OOaaawAAAL-AAAT
30,2006MarXX-1010010OOaaawAAAL-AAAT
31,2016MayXX-1010011OOaaaxAAAL-AAAU
32,2001JanXX-1010001OOaaayAAAM-AAAV
33,2003Feb21-1010001OOaaazAAAL-AAAW
34,2003FebXX-1010001OOaabaAAAL-AAAX
35,2003FebXX-1010001OOaabaAAAL-AAAX
36,2003FebXX-1010001OOaabbAAAL-AAAX
37,2003FebXX-1010001OOaabbAAAL-AAAX
38,2006MarXX-1010010OOaabcAAAL-AAAY
39,2006NovXX-1010002OOaaalAAAL-AAAZ
40,2006NovXX-1010002OOaaalAAAL-AAAZ
41,2006Nov01-1010012OOaabdAAAN-AABA
42,2006May05-1010013OOaabeAAAL-AABB
43,2006May05-1010014OOaabeAAAL-AABB
44,2006MarXX-1010001OOaabfAAAO-AABC
45,2006MarXX-1010001OOaabgAAAL-AABD
46,2006May05-1010013OOaabhAAAL-AABE
47,1995Aug25-1010015OOaabiAAAL-AABF
48,2005Nov16-1010016OOaabjAAAL-AABG
49,2004Jul01-1010016OOaabkAAAL-AABH
50,2004MayXX-1010001OOaablAAAL-AABI
51,2004MayXX-1010002OOaablAAAL-AABI
52,2003Dec05-1010017OOaabmAAAL-AABJ
53,2003Dec05-1010018OOaabmAAAL-AABJ
