AuthorTag,Author
AAAA,"#Name Madushini N Dharmasena #Affiliation Department of Microbiology and Immunology, Dartmouth Medical School, Hanover, New Hampshire 03755, USA. #Name David A Jewell #Name Ronald K Taylor #Reference 17881351"
AAAB,"#Name James A Dromey #Affiliation Department of Medicine, Guy's, King's, and St. Thomas' School of Medicine, King's College, London, United Kingdom. #Name Sarah M Weenink #Name Günther H Peters #Name Josef Endl #Name Patrick J Tighe #Name Ian Todd #Name Michael R Christie #Reference 15034020"
AAAC,"#Name Joanne L Casey #Affiliation Cooperative Research Center for Diagnostics, Department of Biochemistry, La Trobe University, Victoria 3086, Australia. #Name Andrew M Coley #Name Robin F Anders #Name Vince J Murphy #Name Karen S Humberstone #Name Alan W Thomas #Name Michael Foley #Reference 14742560"
AAAD,"#Name Fang-Yu Wang #Affiliation Department of Biochemistry, The Key Laboratory of Genetic Engineering of the Ministry of Education, Sun Yat-sen University, Guanzhou, P R China. #Name Tian-Yuan Zhang #Name Jin-Xian Luo #Name Guo-An He #Name Qu-Liang Gu #Name Fan Xiao #Reference 16960395"
AAAE,"#Name Jen-Liang Su #Affiliation Laboratory of Molecular and Cellular Toxicology, Institute of Toxicology, National Taiwan University College of Medicine, Taipei, Taiwan. #Name Kuo-Pao Lai #Name Chi-An Chen #Name Ching-Yao Yang #Name Pei-Sheng Chen #Name Chiao-Chia Chang #Name Chia-Hung Chou #Name Chi-Lun Hu #Name Min-Liang Kuo #Name Chang-Yao Hsieh #Name Lin-Hung Wei #Reference 15930303"
AAAF,"#Name Jeffrey A Toretsky #Affiliation Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, Washington, District of Columbia, USA. jat42@georgetown.edu #Name Verda Erkizan #Name Amy Levenson #Name Ogan D Abaan #Name Jeffrey D Parvin #Name Timothy P Cripe #Name Anna M Rice #Name Sean Bong Lee #Name Aykut Uren #Reference 16740692"
AAAG,"#Name Mascha Binder #Affiliation Department of Hematology and Oncology, University of Freiburg Medical Center, Hugstetter Strasse 55, D-79106 Freiburg, Germany. #Name Florian Otto #Name Roland Mertelsmann #Name Hendrik Veelken #Name Martin Trepel #Reference 16705086"
AAAH,"#Name Mascha Binder #Affiliation Department of Hematology and Oncology and Institute for Molecular Medicine and Cell Research, University of Freiburg Medical Center, Hugstetter Strasse 55, D-79106 Freiburg, Germany. #Name Friederike-Nora Vögtle #Name Stefan Michelfelder #Name Fabian Müller #Name Gerald Illerhaus #Name Sangeeth Sundararajan #Name Roland Mertelsmann #Name Martin Trepel #Reference 17440057"
AAAI,"#Name Ingo Tamm #Affiliation The Burnham Institute, La Jolla, California 97037, USA. #Name Martin Trepel #Name Marina Cardó-Vila #Name Yan Sun #Name Kate Welsh #Name Edelmira Cabezas #Name Arnold Swatterthwait #Name Wadih Arap #Name John C Reed #Name Renata Pasqualini #Reference 12538646"
AAAJ,"#Name Alexander W Tarr #Affiliation The Institute of Infection, Immunity and Inflammation, School of Molecular Medical Sciences, The University of Nottingham, Queen's Medical Centre, Nottingham, NG7 2UH, UK. #Name Ania M Owsianka #Name Judith M Timms #Name C Patrick McClure #Name Richard J P Brown #Name Timothy P Hickling #Name Thomas Pietschmann #Name Ralf Bartenschlager #Name Arvind H Patel #Name Jonathan K Ball #Reference 16496330"
AAAK,"#Name Yoshiaki Sugimura #Affiliation Department of Applied Molecular Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan. #Name Masayo Hosono #Name Fumitaka Wada #Name Tohru Yoshimura #Name Masatoshi Maki #Name Kiyotaka Hitomi #Reference 16636049"
AAAL,"#Name David L Narum #Affiliation Malaria Vaccine Development Branch/NIH, 5640 Fishers Lane, Twinbrook I, Rockville, MD 20852, USA. dnarum@niaid.nih.gov #Name Solabomi A Ogun #Name Adrian H Batchelor #Name Anthony A Holder #Reference 16988228"
AAAM,"#Name Ren-Rong Liu #Affiliation Key Laboratory of Food Science of MOE, Nanchang University, Nanchang 330047, China. #Name Zhou Yu #Name Qing-Hua He #Name Xi Wang #Name Yang Xu #Reference 16229273"
AAAN,"#Name Duochun Wang #Affiliation The Key Laboratory of Medical Molecular Bacteriology of the Ministry of Health, Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing 102206, China. wangduochun@yahoo.com.cn #Name Biao Kan #Name Shouyi Gao #Name Yanqing Liu #Reference 16276928"
AAAO,"#Name Yan-Li Ding #Affiliation School of Pharmaceutical Engineering, Shenyang Pharmaceutical University, Shenyang 110016, China. dingylding@yahoo.com.cn #Name Wei Han #Name Qiong Shen #Name Hui Liu #Name Sheng-Li Yang #Name Yi Gong #Reference 16520318"
AAAP,"#Name Xing-mei Zhang #Affiliation Institute of Genetic Engineering, Southern Medical University, Guangzhou 510515, China. shiys@fimmu.com #Name Yu-sheng Shi #Name Chun-xia Wang #Reference 16864112"
AAAQ,"#Name Shengliang Deng #Affiliation Sino-German Joint Reserch Institute, the Key Laboratory of Food Science of MOE, Nanchang University, Nanchang 330047, China. #Name Yang Xu #Name Renrong Liu #Reference 17424851"
AAAR,"#Name Bo Peng #Affiliation Laboratory of Animal Virology, College of Veterinary Medicine, Huazhong Agricultural University, Wuhan 430070, China. #Name Hanyang Chen #Name Yadi Tan #Name Meilin Jin #Name Huanchun Chen #Name Aizhen Guo #Reference 16704119"
AAAS,"#Name Nitat Sookrung #Affiliation Graduate Studies, Faculty of Allied Health Sciences, Thammasat University, Rangsit Center, Pathum-thani, Thailand. #Name Wanpen Chaicumpa #Name Anchalee Tungtrongchitr #Name Pakit Vichyanond #Name Chaweewan Bunnag #Name Pongrama Ramasoota #Name Pongsri Tongtawe #Name Yuwaporn Sakolvaree #Name Pramuan Tapchaisri #Reference 16759988"
AAAT,"#Name Livia Otte #Affiliation Institut für Medizinische Immunologie, Charité-Universitätsmedizin Berlin, Berlin, Germany. #Name Tobias Knaute #Name Jens Schneider-Mergener #Name Achim Kramer #Reference 16273596"
AAAU,"#Name Guohua Yi #Affiliation Department of Virology, College of Life Science, Wuhan University, Wuhan, Hubei 430072, PR China. #Name Juan Qian #Name Zhiming Wang #Name Yipeng Qi #Reference 12917476"
AAAV,"#Name Guo-hong Zhu #Affiliation Department of Rachidial Diseases, Nanfang Hospital, China. ghzhu68@fimmu.edu.cn #Name Bei-yi Liu #Name Shan-gen Zheng #Name Hai Lü #Name Zhan-jun Shi #Reference 12527505"
AAAW,"#Name Bin Yang #Affiliation The Dorrance H. Hamilton Laboratories, Center for Human Virology, Division of Infectious Diseases, Department of Medicine, Thomas Jefferson University, Philadelphia, Pennsylvania 19107, USA. #Name Ling Gao #Name Lin Li #Name Zhixian Lu #Name Xuejun Fan #Name Charvi A Patel #Name Roger J Pomerantz #Name Garrett C DuBois #Name Hui Zhang #Reference 12480936"
AAAX,"#Name Swee-Seong Tang #Affiliation Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, Malaysia. #Name Wen-Siang Tan #Name Shamala Devi #Name Lin-Fa Wang #Name Tikki Pang #Name Kwai-Lin Thong #Reference 14607870"
AAAY,"#Name Gang Yao #Affiliation Laboratory of Molecular Cell Biology, Institute of Biochemistry and Cell Biology, Shanghai Institute for Biological Sciences, Chinese Academy of Sciences, 320 Yueyang Road, Shanghai 200031, China. #Name Weiyan Chen #Name Haibin Luo #Name Qunfeng Jiang #Name Zongxiang Xia #Name Lei Zang #Name Jianping Zuo #Name Xin Wei #Name Zhengjun Chen #Name Xu Shen #Name Chen Dong #Name Bing Sun #Reference 16361318"
