TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
1,Tetanus toxin,Tentoxylysin,Clostridium tetani:1513,Protein>Others,P04958,"1A8D, 1AF9, 1D0H, 1DFQ, 1DIW, 1DLL, 1FV2, 1FV3, 1YVG, 1YXW, 1YYN, 1Z7H, 3HMY, 3HN1",NULL
2,O-specific polysaccharide of LPS,"Lipopolysaccharide, LPS",Vibrio cholerae O1:127906,Organic molecules or materials,NULL,NULL,"LPS is composed of lipid A, core polysaccharide, and O-SP."
3,Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N),"PTP IA-2
Islet cell antigen 512, ICA 512
Islet cell autoantigen 3",Homo sapiens (Human):9606,Protein>Others,Q16849,"2I1Y, 2QT7, 3N01, 3N4W, 3NG8, 3NP5",Protein tyrosine phosphatase-like IA-2 autoantigen is one of the major targets of humoral autoimmunity in patients with insulin-dependant diabetes mellitus (IDDM).
4,"Apical membrane antigen 1, AMA1",NULL,Plasmodium falciparum (isolate 3D7):36329,Protein>Others,Q7KQK5,"1Z40, 2Q8A, 2Q8B, 2Z8V, 2Z8W, 3SRJ, 3ZWZ",Apical membrane antigen 1 (AMA1) of the malaria parasite Plasmodium falciparum is an integral membrane protein that plays a key role in merozoite invasion of host erythrocytes.
5,"RNA helicase A, RHA",Nuclear DNA helicase II,Homo sapiens (Human):9606,Protein>Enzyme,GI:2301365,NULL,"RNA helicase A (RHA), a member of the DEXH box helicase family  of  proteins,  is  an  integral  component  of  protein complexes  that  regulate  transcription  and  splicing."
6,B-lymphocyte antigen CD20,"B-lymphocyte surface antigen B1
Bp35
Leukocyte surface antigen Leu-16
Membrane-spanning 4-domains subfamily A member 1
CD_antigen=CD20",Homo sapiens (Human):9606,Protein>Others,P11836,"2OSL, 3BKY, 3PP4",CD20 is an activated-glycosylated phosphoprotein expressed on the surface of all B-cells beginning at the pro-B phase and progressively increasing in concentration until maturity. It plays a role in the regulation of B-cell activation and proliferation.
7,Interleukin-2 receptor subunit alpha,"IL-2 receptor subunit alpha, IL-2R subunit alpha, IL-2-RA, IL2-RA
p55
TAC antigen
CD_antigen=CD25",Homo sapiens (Human):9606,Protein>Receptor,P01589,"2B5I, 1Z92, 2ERJ, 3IU3, 3NFP","The interleukin-2 receptor (IL-2R) exists in 3 different forms: a low affinity monomer (α subunit), an intermediate dimer (β and γ subunits) and a high affinity trimer (α, β and γ subunits). The α and β subunits are involved in binding IL-2, while signal transduction following cytokine interaction is carried out by the γ subunit, along with the β subunit."
8,Envelope glycoprotein E2,"NS1
gp68
gp70",Hepatitis C virus genotype 1a (isolate H) (HCV):11108,Protein>Others,P27958 [384-746],"1A1R, 1A1V, 1CWX, 1HEI, 1JR6, 1N1L, 1ONB, 1R7C, 1R7D, 1R7E, 1R7F, 1R7G, 1R7Q, 1RGQ, 2A4R, 2F9V, 2HD0, 2JXF, 2KDR, 2O8M, 2OBO, 2OBQ, 2OC0, 2OC1, 2OC7, 2OC8, 2OIN, 2P59, 2XI2, 2XI3","The genome polyprotein is further processed into at least 11 mature proteins. E2 glycoprotein is one of them. E1 and E2 glycoproteins form a heterodimer that is involved in virus attachment to the host cell, virion internalization through clathrin-dependent endocytosis and fusion with host membrane. E1/E2 heterodimer binds to human LDLR, CD81 and SCARB1/SR-BI receptors, but this binding is not sufficient for infection, some additional liver specific cofactors may be needed. The fusion function may possibly be carried by E1. E2 inhibits human EIF2AK2/PKR activation, preventing the establishment of an antiviral state. E2 is a viral ligand for CD209/DC-SIGN and CLEC4M/DC-SIGNR, which are respectively found on dendritic cells (DCs), and on liver sinusoidal endothelial cells and macrophage-like cells of lymph node sinuses."
9,P235 rhoptry protein,NULL,Plasmodium yoelii yoelii:73239,Protein>Others,"Q9GNA2, Q9GSB8",NULL,NULL
10,Ochratoxin A,"OTA
IUPAC: N-​{[(3R)-​5-​chloro-​8-​hydroxy-​3-​methyl-​1-​oxo-​3,​4-​dihydro-​1H-​isochromen-​7-​yl]​carbonyl}-​L-​phenylalanine
(R)-N- [(5-Chloro- 3,4-dihydro- 8-hydroxy- 3-methyl- 1-oxo- 1H-2-benzopyran-7-yl) -carbonyl]- L- phenylalanine
(-)-N- [(5-Chloro- 8-hydroxy- 3-methyl- 1-oxo- 7-isochromanyl) carbonyl]- 3-phenylalanine",Unknown,Organic molecules or materials,"CID: 442530
SMILES: O=C(O)[C@@H](NC(=O)c1c(O)c2c(c(Cl)c1)C[C@H](OC2=O)C)Cc3ccccc3",NULL,"Ochratoxin A is a toxin produced by Aspergillus ochraceus, Aspergillus carbonarius and Penicillium verrucosum. It is one of the most abundant food-contaminating mycotoxins in the world. Human exposure occurs mainly through consumption of improperly stored food products. Ochratoxin A is potentially carcinogenic to humans."
